"salary" "age" "edu" "startsal" "jobtime" "prevexp" "minority" "gender" "jobcat"
21300 19 12 11250 77 0 "no_min" "f" "clerical"
29850 22 12 13500 77 38 "no_min" "f" "clerical"
34500 19 12 12150 77 4 "no_min" "f" "clerical"
27750 28 15 15000 77 52 "min" "m" "clerical"
27750 19 12 11550 77 12 "min" "m" "clerical"
48750 27 16 21990 76 61 "no_min" "m" "manager"
43410 22 15 15750 76 12 "no_min" "m" "clerical"
22050 52 12 15000 76 385 "no_min" "m" "clerical"
22050 35 12 12000 76 6 "no_min" "f" "clerical"
22500 50 12 14250 76 90 "no_min" "f" "clerical"
25500 21 15 12000 76 7 "no_min" "f" "clerical"
29160 22 12 15000 76 22 "no_min" "f" "clerical"
16800 54 8 10200 76 76 "no_min" "f" "clerical"
29550 30 8 15750 76 144 "min" "m" "custodial"
26700 23 12 15750 76 18 "min" "m" "clerical"
55000 36 18 32490 75 125 "no_min" "m" "manager"
62500 30 18 34980 75 74 "no_min" "m" "manager"
27300 29 15 17250 75 132 "no_min" "m" "clerical"
24450 46 12 12000 75 144 "no_min" "f" "clerical"
33000 24 16 18000 75 26 "no_min" "f" "clerical"
37050 23 15 18000 75 5 "no_min" "f" "clerical"
24450 22 12 10950 75 32 "min" "f" "clerical"
31950 58 8 15750 74 408 "no_min" "m" "custodial"
47250 24 16 21240 74 45 "no_min" "m" "manager"
26100 18 12 11550 74 2 "no_min" "f" "clerical"
15900 50 8 10200 74 43 "no_min" "f" "clerical"
23700 46 8 10650 74 281 "no_min" "f" "clerical"
21750 54 8 12450 74 318 "no_min" "f" "clerical"
59400 43 12 33750 74 272 "min" "m" "manager"
24450 40 12 14250 74 117 "min" "f" "clerical"
103500 35 16 60000 73 150 "no_min" "m" "manager"
35700 25 12 16500 73 72 "no_min" "m" "clerical"
22200 19 12 16500 73 7 "no_min" "f" "clerical"
22950 20 15 13950 73 22 "no_min" "f" "clerical"
23100 44 12 12000 73 228 "no_min" "f" "clerical"
56750 26 16 30000 73 15 "no_min" "f" "manager"
29100 50 17 12750 73 375 "no_min" "f" "clerical"
37650 49 12 15750 73 132 "no_min" "f" "clerical"
27900 22 12 13500 73 32 "no_min" "f" "clerical"
21150 55 8 12000 73 159 "no_min" "f" "clerical"
31200 33 12 15750 73 155 "min" "m" "custodial"
20550 42 12 11250 73 154 "min" "f" "clerical"
25950 27 15 17250 72 83 "no_min" "m" "clerical"
28350 23 15 15000 72 48 "no_min" "m" "clerical"
17700 56 8 10200 72 184 "no_min" "f" "clerical"
23550 44 15 13500 72 49 "no_min" "f" "clerical"
19950 47 12 10200 72 56 "no_min" "f" "clerical"
29400 20 12 15300 72 30 "no_min" "f" "clerical"
28800 22 12 13950 72 18 "no_min" "f" "clerical"
16950 51 8 10200 72 319 "no_min" "f" "clerical"
35700 34 16 18000 72 138 "min" "m" "clerical"
17400 41 12 10200 72 116 "min" "f" "clerical"
21450 40 8 10200 72 194 "min" "f" "clerical"
24750 27 12 12000 72 68 "min" "f" "clerical"
16950 46 12 10200 72 271 "min" "f" "clerical"
26100 45 12 13500 72 169 "min" "f" "clerical"
28050 21 14 15000 71 15 "no_min" "m" "clerical"
36600 25 16 18000 71 12 "no_min" "f" "clerical"
58125 22 16 18000 71 11 "no_min" "f" "manager"
21300 53 15 15750 70 372 "no_min" "m" "clerical"
22500 39 12 16500 70 216 "no_min" "m" "clerical"
29400 21 15 15750 70 15 "no_min" "m" "clerical"
27450 22 12 14700 70 41 "no_min" "m" "clerical"
29850 24 15 15750 70 48 "no_min" "m" "clerical"
25350 23 15 15750 70 56 "no_min" "m" "clerical"
15750 58 8 10200 70 275 "no_min" "f" "clerical"
19650 50 8 13050 70 102 "no_min" "f" "clerical"
21000 47 12 13500 70 82 "no_min" "f" "clerical"
27000 42 17 18000 70 192 "min" "m" "clerical"
24000 29 12 15750 70 120 "min" "m" "clerical"
78500 27 17 28740 70 67 "min" "m" "manager"
20850 33 12 13050 70 127 "min" "f" "clerical"
30000 58 12 15750 69 348 "no_min" "m" "custodial"
28500 54 8 15750 69 174 "no_min" "m" "custodial"
65000 23 19 31980 69 74 "no_min" "m" "manager"
30150 29 14 16500 69 110 "no_min" "m" "clerical"
66875 29 19 32490 69 81 "no_min" "m" "manager"
24150 20 15 13500 69 7 "no_min" "f" "clerical"
24450 19 12 12450 69 12 "no_min" "f" "clerical"
21600 18 12 12000 69 0 "no_min" "f" "clerical"
27900 19 12 12450 69 0 "no_min" "f" "clerical"
29100 18 8 12450 69 17 "no_min" "f" "clerical"
22650 18 12 11250 69 2 "no_min" "f" "clerical"
20850 18 12 11250 69 0 "no_min" "f" "clerical"
22950 18 12 12300 69 5 "no_min" "f" "clerical"
30600 18 12 12450 69 5 "no_min" "f" "clerical"
20400 18 12 11250 69 0 "no_min" "f" "clerical"
23850 19 12 12750 69 20 "no_min" "f" "clerical"
22800 18 12 11250 69 0 "no_min" "f" "clerical"
20700 18 12 11250 69 2 "no_min" "f" "clerical"
21300 18 12 11250 69 3 "min" "f" "clerical"
24300 35 12 15000 69 121 "min" "f" "clerical"
19650 44 12 13950 69 133 "min" "f" "clerical"
60000 23 17 32490 68 17 "no_min" "m" "manager"
30300 23 15 15750 68 55 "no_min" "m" "clerical"
61250 24 19 33000 68 9 "no_min" "m" "manager"
36000 26 19 19500 68 21 "no_min" "m" "clerical"
25200 46 8 18750 68 344 "no_min" "f" "clerical"
16200 57 12 10200 68 180 "no_min" "f" "clerical"
22800 18 12 11250 68 2 "no_min" "f" "clerical"
43500 22 16 19500 68 11 "no_min" "f" "manager"
30300 27 8 15750 68 155 "min" "m" "custodial"
31950 25 15 15750 68 70 "min" "m" "clerical"
35250 23 15 13500 67 6 "no_min" "m" "clerical"
37800 21 15 15000 67 36 "no_min" "m" "clerical"
31200 23 15 15750 67 46 "no_min" "m" "clerical"
29400 24 15 16500 67 68 "no_min" "m" "clerical"
70000 31 19 35040 67 75 "no_min" "m" "manager"
33900 27 15 15750 67 96 "no_min" "m" "clerical"
27150 25 15 16500 67 78 "no_min" "m" "clerical"
22200 52 12 13800 67 196 "no_min" "f" "clerical"
31350 22 15 11100 67 47 "no_min" "f" "clerical"
20850 46 12 13500 67 181 "no_min" "f" "clerical"
33300 36 16 17490 67 120 "min" "m" "clerical"
26250 46 8 16050 67 97 "min" "m" "clerical"
31950 24 15 15750 67 58 "min" "m" "clerical"
30000 42 8 15750 67 305 "min" "m" "custodial"
66250 32 19 34980 67 99 "min" "m" "manager"
86250 29 18 45000 66 50 "no_min" "m" "manager"
30750 24 12 15000 66 56 "no_min" "m" "clerical"
33540 22 12 15750 66 47 "no_min" "m" "clerical"
40350 24 15 16500 66 80 "no_min" "m" "clerical"
30270 23 12 15750 66 80 "no_min" "m" "clerical"
26250 55 8 16050 66 264 "no_min" "m" "clerical"
32400 24 15 15000 66 64 "no_min" "m" "clerical"
20400 18 12 11250 66 0 "no_min" "f" "clerical"
24150 41 8 12750 66 96 "no_min" "f" "clerical"
23850 39 15 13500 66 122 "no_min" "f" "clerical"
29700 20 12 13500 66 26 "no_min" "f" "clerical"
21600 59 8 13500 66 228 "no_min" "f" "clerical"
24450 27 12 15750 66 87 "no_min" "f" "clerical"
28050 25 15 16500 66 84 "min" "m" "clerical"
100000 30 16 44100 66 128 "min" "m" "manager"
49000 27 15 20550 66 86 "min" "m" "clerical"
16350 55 12 10200 66 163 "min" "f" "clerical"
70000 22 16 21750 65 19 "no_min" "m" "manager"
55000 34 19 34980 65 129 "no_min" "m" "manager"
28500 19 15 14250 65 20 "no_min" "m" "clerical"
28800 35 12 18000 65 210 "no_min" "m" "clerical"
24450 58 15 15750 65 338 "no_min" "m" "clerical"
90625 23 19 31250 65 18 "no_min" "m" "manager"
43650 24 16 19500 65 19 "no_min" "m" "manager"
75000 29 19 42510 65 54 "no_min" "m" "manager"
31650 20 15 14250 65 10 "no_min" "m" "clerical"
61875 23 19 28740 65 26 "no_min" "m" "manager"
21750 17 12 11250 65 0 "no_min" "f" "clerical"
22500 19 12 12750 65 24 "no_min" "f" "clerical"
21600 45 8 13500 65 173 "no_min" "f" "clerical"
34410 25 16 19500 65 79 "no_min" "f" "manager"
20700 54 15 14250 65 241 "no_min" "f" "clerical"
47550 26 19 33000 64 27 "no_min" "m" "manager"
33900 26 12 16500 64 106 "no_min" "m" "clerical"
23400 40 12 13500 64 198 "no_min" "f" "clerical"
32850 21 16 19500 64 20 "no_min" "f" "clerical"
55750 23 16 19980 64 36 "no_min" "f" "manager"
25200 24 15 13950 64 57 "no_min" "f" "clerical"
26250 24 12 15750 64 69 "min" "m" "clerical"
26400 22 15 15750 64 32 "min" "m" "clerical"
39150 22 15 15750 63 46 "no_min" "m" "clerical"
21450 51 12 12750 63 139 "no_min" "f" "clerical"
29400 20 12 14250 63 9 "no_min" "f" "clerical"
