"cliente"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"y"	"x8"
44	5	1.3	8.6	4.7	3.1	2.5	3.7	48	0
45	2	2.6	6.5	3.7	2.4	1.7	8.5	38	1
46	5	2.5	9.4	4.6	3.7	1.4	6.3	54	0
47	3.1	1.9	10	4.5	2.6	3.2	3.8	55	0
48	3.4	3.9	5.6	5.6	3.6	2.3	9.1	43	1
49	5.8	0.2	8.8	4.5	3	2.4	6.7	57	0
50	5.4	2.1	8	3	3.8	1.4	5.2	53	0
51	3.7	0.7	8.2	6	2.1	2.5	5.2	41	0
52	2.6	4.8	8.2	5	3.6	2.5	9	53	1
53	4.5	4.1	6.3	5.9	4.3	3.4	8.8	50	1
54	2.8	2.4	6.7	4.9	2.5	2.6	9.2	32	1
55	3.8	0.8	8.7	2.9	1.6	2.1	5.6	39	0
56	2.9	2.6	7.7	7	2.8	3.6	7.7	47	0
57	4.9	4.4	7.4	6.9	4.6	4	9.6	62	1
58	5.4	2.5	9.6	5.5	4	3	7.7	65	0
59	4.3	1.8	7.6	5.4	3.1	2.5	4.4	46	0
60	2.3	4.5	8	4.7	3.3	2.2	8.7	50	1
61	3.1	1.9	9.9	4.5	2.6	3.1	3.8	54	0
62	5.1	1.9	9.2	5.8	3.6	2.3	4.5	60	0
63	4.1	1.1	9.3	5.5	2.5	2.7	7.4	47	0
64	3	3.8	5.5	4.9	3.4	2.6	6	36	0
65	1.1	2	7.2	4.7	1.6	3.2	10	40	1
66	3.7	1.4	9	4.5	2.6	2.3	6.8	45	0
67	4.2	2.5	9.2	6.2	3.3	3.9	7.3	59	0
68	1.6	4.5	6.4	5.3	3	2.5	7.1	46	1
69	5.3	1.7	8.5	3.7	3.5	1.9	4.8	58	0
70	2.3	3.7	8.3	5.2	3	2.3	9.1	49	1
71	3.6	5.4	5.9	6.2	4.5	2.9	8.4	50	1
72	5.6	2.2	8.2	3.1	4	1.6	5.3	55	0
73	3.6	2.2	9.9	4.8	2.9	1.9	4.9	51	0
74	5.2	1.3	9.1	4.5	3.3	2.7	7.3	60	0
75	3	2	6.6	6.6	2.4	2.7	8.2	41	1
76	4.2	2.4	9.4	4.9	3.2	2.7	8.5	49	0
77	3.8	0.8	8.3	6.1	2.2	2.6	5.3	42	0
78	3.3	2.6	9.7	3.3	2.9	1.5	5.2	47	0
79	1	1.9	7.1	4.5	1.5	3.1	9.9	39	1
80	4.5	1.6	8.7	4.6	3.1	2.1	6.8	56	0
81	5.5	1.8	8.7	3.8	3.6	2.1	4.9	59	0
82	3.4	4.6	5.5	8.2	4	4.4	6.3	47	0
83	1.6	2.8	6.1	6.4	2.3	3.8	8.2	41	1
84	2.3	3.7	7.6	5	3	2.5	7.4	37	0
85	2.6	3	8.5	6	2.8	2.8	6.8	53	1
86	2.5	3.1	7	4.2	2.8	2.2	9	43	1
87	2.4	2.9	8.4	5.9	2.7	2.7	6.7	51	1
88	2.1	3.5	7.4	4.8	2.8	2.3	7.2	36	0
89	2.9	1.2	7.3	6.1	2	2.5	8	34	1
90	4.3	2.5	9.3	6.3	3.4	4	7.4	60	0
91	3	2.8	7.8	7.1	3	3.8	7.9	49	0
92	4.8	1.7	7.6	4.2	3.3	1.4	5.8	39	0
93	3.1	4.2	5.1	7.8	3.6	4	5.9	43	0
94	1.9	2.7	5	4.9	2.2	2.5	8.2	36	1
95	4	0.5	6.7	4.5	2.2	2.1	5	31	0
96	0.6	1.6	6.4	5	0.7	2.1	8.4	25	1
97	6.1	0.5	9.2	4.8	3.3	2.8	7.1	60	0
98	2	2.8	5.2	5	2.4	2.7	8.4	38	1
99	3.1	2.2	6.7	6.8	2.6	2.9	8.4	42	1
100	2.5	1.8	9	5	2.2	3	6	33	0
